age,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,activities,romantic,Walc,health,absences,G1,G2,G3
15,1,1,2,1,2,0,0,0,0,0,2,1,2,16,15,B
15,1,2,2,1,4,0,0,1,1,0,2,5,6,16,14,B
16,1,2,4,2,2,0,0,1,1,1,2,5,2,13,13,B
16,1,4,4,1,1,0,0,1,1,0,4,5,18,14,11,B
16,1,2,2,1,2,0,0,0,0,1,1,5,0,8,7,D
15,1,3,4,1,1,0,1,0,0,0,2,5,0,13,13,C
15,0,3,4,1,2,0,1,0,1,1,1,1,0,7,10,C
19,1,0,1,1,2,3,0,1,0,0,1,5,2,7,8,C
16,1,4,4,1,1,0,0,0,1,0,5,4,8,18,18,A
17,1,2,2,1,1,0,0,1,0,1,3,5,12,10,13,C
16,0,3,4,1,1,0,0,0,0,0,4,5,16,12,11,C
16,1,1,1,1,2,1,0,0,0,1,3,5,0,14,12,C
15,1,4,4,2,1,0,0,0,1,0,1,5,0,16,16,B
16,1,2,2,2,1,2,0,1,1,0,2,2,8,9,9,C
15,1,4,4,1,3,0,0,1,1,0,1,5,2,9,11,C
16,1,1,1,1,1,0,0,0,0,0,3,1,2,14,14,B
15,1,1,1,1,2,0,0,1,0,0,2,5,0,8,11,C
15,1,1,2,1,2,0,0,1,0,0,1,5,2,10,11,C
15,0,2,1,4,1,3,0,0,0,0,5,5,0,8,9,C
16,1,2,1,1,1,1,0,0,1,1,5,5,6,12,13,B
15,1,3,3,2,3,2,0,1,1,1,3,3,8,10,10,C
17,1,4,4,1,1,0,1,1,0,1,1,4,0,11,11,C
15,1,2,3,1,2,0,1,0,1,0,1,1,2,11,8,D
17,1,1,2,1,1,0,0,0,0,0,3,5,8,16,12,B
18,1,1,1,3,1,3,0,1,1,0,5,4,6,9,8,C
16,1,2,2,3,1,0,0,0,0,0,2,3,2,17,15,B
16,1,3,3,1,2,1,0,1,0,1,4,5,4,10,12,C
15,1,3,2,2,2,2,1,1,0,1,4,3,6,5,9,D
17,1,1,3,1,1,0,0,0,0,0,4,2,2,10,10,C
17,1,1,1,4,2,3,0,0,1,1,5,5,0,5,8,D
16,1,3,2,2,1,1,0,1,1,0,1,2,16,12,11,C
16,1,2,2,1,2,0,0,0,0,0,4,4,4,10,10,C
16,1,4,2,1,2,0,0,0,0,1,1,3,0,14,15,B
16,1,4,4,1,2,0,0,1,0,1,1,3,0,14,14,B
16,1,1,0,2,2,0,0,1,1,1,1,3,2,13,15,B
17,1,4,4,1,2,0,0,1,1,0,3,5,0,13,11,C
16,1,3,3,2,2,0,0,1,1,0,1,4,4,10,11,C
17,1,4,3,2,2,0,0,0,1,0,4,4,4,10,9,C
16,1,2,2,2,2,0,0,0,1,0,4,5,2,13,13,C
17,1,3,3,1,2,0,0,0,1,0,4,4,4,6,5,D
16,1,4,2,1,1,0,0,1,1,1,4,3,10,10,8,C
17,1,4,3,1,2,0,0,1,1,1,1,2,4,10,10,C
16,1,4,3,1,2,0,0,1,1,0,3,3,10,9,8,D
16,1,3,3,1,2,0,0,0,1,1,2,3,2,12,13,C
17,1,2,4,1,2,0,0,1,1,0,3,5,0,16,17,A
17,1,3,3,1,2,0,0,1,1,1,3,1,56,9,9,D
16,1,3,2,1,2,0,0,1,0,0,2,1,14,12,13,C
17,1,3,3,1,2,0,0,1,1,1,3,4,12,12,12,C
16,1,1,2,1,1,0,0,1,1,1,2,3,2,11,12,C
16,1,2,1,1,2,0,0,0,1,1,2,5,0,15,15,B
17,0,3,3,1,2,0,0,1,0,1,3,3,6,8,7,C
17,1,1,2,1,2,0,0,0,0,0,5,3,4,8,9,C
16,1,2,3,1,2,0,0,0,0,0,1,2,10,11,12,B
17,1,1,1,1,2,0,0,0,1,0,1,3,0,8,8,C
17,1,1,2,2,2,0,0,0,1,0,5,5,12,7,8,D
16,1,3,3,1,1,0,0,1,1,0,4,5,8,8,9,C
16,1,2,3,2,1,0,0,0,0,0,1,3,0,13,14,B
17,1,2,4,1,2,0,0,0,1,1,1,5,0,14,15,B
17,1,4,4,1,1,0,0,0,0,0,2,5,4,17,15,B
16,1,3,3,3,1,0,0,1,1,0,5,3,8,9,9,C
17,1,4,4,2,1,1,0,1,0,0,3,2,24,18,18,A
16,1,4,4,1,2,0,0,1,0,0,2,3,0,9,9,C
16,1,4,3,1,2,0,0,1,1,0,5,2,2,16,16,B
16,1,2,3,1,2,0,1,1,1,0,3,4,6,8,10,C
17,1,1,1,1,2,0,0,1,0,0,3,1,4,9,9,C
17,1,2,2,1,1,0,0,1,0,0,2,3,18,7,6,D
16,1,2,2,2,4,0,0,1,1,0,1,5,6,10,10,C
17,1,3,4,1,3,1,0,1,0,1,4,5,28,10,9,C
16,0,3,1,1,2,3,0,1,0,0,2,4,5,7,7,D
16,1,4,3,1,2,0,0,0,1,1,1,1,10,11,12,B
16,1,1,1,2,1,0,0,1,0,0,4,5,6,9,9,C
17,1,4,3,2,3,0,0,1,1,1,1,4,6,7,7,D
19,1,3,3,1,4,0,0,1,1,0,2,3,10,8,8,D
17,1,4,4,1,2,0,0,1,0,1,5,3,13,12,12,B
16,0,2,2,1,2,0,1,1,0,0,1,4,0,12,13,B
18,1,2,2,1,2,1,0,1,1,0,4,5,15,6,7,D
17,1,4,4,1,1,0,0,1,0,0,2,3,12,8,10,C
17,1,3,2,2,2,0,0,0,0,0,3,1,2,14,15,B
17,1,4,3,1,2,2,0,0,0,1,4,1,22,6,6,F
18,1,3,3,1,2,1,0,1,0,0,4,4,13,6,6,D
17,1,2,3,2,1,0,0,1,0,0,4,3,3,7,7,D
17,1,2,2,1,3,0,0,1,1,0,1,4,4,9,10,C
17,1,2,1,2,2,0,0,1,1,0,2,5,2,6,6,D
16,1,2,3,1,2,0,1,0,0,0,1,3,2,16,16,A
18,1,2,2,2,2,0,0,1,0,0,5,4,0,12,13,B
16,1,4,4,1,3,0,0,1,1,0,1,5,0,13,13,B
18,1,3,1,1,2,1,0,0,1,1,1,4,16,9,8,D
17,1,3,2,1,2,0,0,0,1,0,3,3,10,16,15,B
17,1,2,3,1,2,0,0,1,0,0,3,3,2,12,11,C
18,1,2,1,4,2,0,1,1,1,1,5,3,14,10,8,C
17,0,2,1,2,3,0,0,0,1,1,2,3,10,12,10,C
17,1,4,3,1,2,0,0,0,1,1,2,3,14,13,13,B
17,1,2,2,2,2,0,0,1,1,0,1,1,4,11,11,C
17,1,4,4,1,2,0,1,1,1,1,3,2,14,11,9,C
16,1,4,4,1,2,0,0,1,1,0,4,1,2,14,13,B
16,1,1,1,2,2,0,0,1,0,0,1,5,18,9,7,D
16,1,3,2,2,3,0,0,0,1,1,3,2,10,11,9,C
17,1,2,2,1,2,0,0,0,1,1,5,4,4,14,13,B
16,1,2,1,1,1,0,0,0,0,1,1,5,20,13,12,C
17,1,2,1,3,2,0,0,0,1,0,1,3,2,13,11,C
17,1,4,3,2,2,0,0,0,1,1,4,5,14,12,12,C
17,0,4,4,2,2,0,0,1,0,0,3,4,2,10,11,C
16,1,4,4,1,1,0,0,0,1,0,2,5,0,13,12,C
16,1,2,1,3,1,0,0,0,0,0,1,4,6,18,18,A
17,1,2,3,2,1,0,0,0,0,0,1,2,4,12,12,B
22,1,3,1,1,1,3,0,0,0,1,5,1,16,6,8,D
18,1,3,3,1,2,1,0,1,0,1,3,5,8,3,5,D
16,1,0,2,1,1,0,0,0,0,0,4,5,0,13,15,B
18,1,3,2,2,1,1,0,0,0,0,4,5,0,6,8,D
16,1,3,3,3,2,0,1,1,0,0,3,2,6,7,10,C
18,1,2,1,1,1,1,0,0,0,0,5,5,4,6,9,D
16,1,2,1,2,1,0,0,0,1,0,3,3,0,8,9,D
17,1,2,1,1,1,0,0,0,0,0,4,5,0,8,12,C
17,1,1,1,2,1,1,0,1,1,0,2,5,2,7,9,D
17,1,4,2,1,4,0,0,1,1,0,1,4,6,14,12,B
19,0,4,3,1,2,0,0,1,0,0,1,1,12,11,11,C
18,1,2,1,1,2,0,0,0,1,0,2,4,8,15,14,B
18,1,4,3,1,2,0,0,1,0,1,3,2,21,17,18,A
18,1,4,3,1,2,0,0,1,0,0,1,3,2,8,8,D
18,1,3,2,1,3,0,0,0,1,0,1,3,1,13,12,C
17,1,3,3,1,3,0,0,0,1,0,1,4,4,10,9,C
18,0,3,4,2,2,0,0,1,1,0,4,1,13,17,17,A
17,1,3,1,1,2,0,0,0,1,1,4,5,2,9,9,C
18,1,4,4,2,2,0,0,0,1,0,2,4,8,12,10,C
18,1,4,2,1,2,0,0,1,1,1,3,5,10,10,9,C
19,1,3,3,1,2,2,0,1,1,0,3,5,15,9,9,C
18,1,2,3,1,4,0,0,1,1,1,3,2,4,15,14,B
18,1,1,1,2,2,0,0,1,0,0,1,3,2,11,11,C
17,1,1,2,1,2,0,0,1,1,1,2,1,2,15,14,B
17,1,2,4,2,2,0,0,1,0,1,1,1,2,10,10,C
17,1,2,2,2,2,0,1,1,0,1,3,5,6,12,12,C
18,0,3,2,2,2,0,0,0,0,1,1,5,75,10,9,C
18,1,4,4,2,1,0,0,0,1,0,4,3,22,9,9,C
18,1,4,4,1,2,1,1,1,1,1,1,4,15,9,8,D
18,1,4,3,2,1,0,0,0,1,0,2,1,8,10,11,C
17,0,4,1,2,1,0,0,0,1,1,4,5,30,8,8,D
17,0,3,2,1,1,1,0,0,0,0,4,3,19,11,9,C
18,1,1,1,2,4,0,0,1,1,0,1,3,1,12,12,C
18,1,1,1,2,2,0,1,0,1,0,1,4,4,8,9,C
17,1,2,2,1,2,0,0,1,0,0,2,5,4,10,9,C
17,1,1,1,1,2,0,0,0,0,0,2,4,2,12,10,C
18,1,2,2,1,3,0,0,1,0,0,2,2,5,18,18,A
17,1,1,1,1,3,0,0,1,0,0,1,3,6,13,12,C
18,1,2,1,1,3,0,0,0,1,0,3,2,6,15,14,B
18,0,4,4,1,2,0,0,1,1,0,1,2,9,15,13,B
18,1,4,2,1,2,0,0,1,1,1,4,5,11,12,11,C
17,1,4,3,1,3,0,0,1,0,0,2,3,0,15,15,B
18,1,2,1,1,2,1,0,0,0,1,1,5,12,12,12,B
17,1,3,1,2,4,0,0,1,0,0,1,3,6,18,18,A
18,1,3,2,2,3,0,0,1,1,0,1,4,8,14,13,B
17,1,3,3,1,1,0,0,1,0,0,3,5,4,14,12,C
18,1,4,3,2,2,0,0,1,0,1,2,2,10,10,8,D
18,1,4,3,1,4,0,0,1,0,0,1,3,0,14,13,B
18,1,4,4,1,1,0,0,1,0,1,2,1,5,16,15,B
18,0,4,4,1,2,0,0,1,0,1,1,4,14,12,10,C
17,1,4,4,2,1,0,0,0,0,0,2,5,0,11,11,C
17,1,4,2,2,3,0,0,1,0,0,1,3,0,15,12,B
17,1,3,2,1,4,0,0,1,1,0,2,5,0,17,17,A
19,1,3,3,1,2,1,0,1,1,1,1,3,20,15,14,B
18,1,2,4,1,2,1,0,1,1,0,1,3,8,14,12,C
20,0,3,2,1,1,0,0,0,1,0,1,5,0,17,18,A
19,1,4,4,2,1,1,0,1,0,1,1,4,38,8,9,D
19,1,3,3,1,2,1,0,0,1,1,2,5,0,15,12,C
19,1,1,1,1,2,1,1,1,1,0,3,3,18,12,10,C
19,1,2,1,3,2,0,0,1,0,1,1,2,20,14,12,B
19,1,1,2,1,2,1,0,0,0,0,2,4,3,13,11,C
19,1,3,2,2,2,1,0,1,0,1,2,1,22,13,10,C
19,1,1,1,1,3,2,0,0,0,1,1,3,14,15,13,B
19,1,2,3,1,3,1,0,0,0,1,1,3,40,13,11,C
18,1,4,3,1,3,0,0,1,1,1,1,5,9,9,10,C
17,1,3,4,1,3,0,0,1,1,0,5,5,0,11,11,C
18,1,4,4,1,2,0,0,1,0,0,3,5,2,11,11,C
17,0,4,3,1,2,0,0,1,0,1,2,5,23,13,13,B
17,1,2,2,1,2,0,0,1,0,1,1,3,12,11,9,C
17,1,2,2,1,3,0,0,1,1,0,2,3,3,11,11,C
17,1,3,1,1,3,0,0,1,0,0,3,5,1,12,14,B
17,1,0,2,2,3,0,0,0,0,0,3,2,0,16,15,B
18,1,4,4,1,3,0,0,0,1,0,2,3,3,9,12,C
17,1,3,3,1,1,0,0,0,1,0,5,5,3,14,15,B
17,1,2,2,4,1,0,0,1,0,0,5,4,8,11,10,C
17,1,4,4,1,3,0,0,1,1,0,3,4,7,10,9,C
17,1,4,4,2,3,0,0,1,0,1,2,4,4,14,14,B
18,1,2,2,1,4,0,0,1,1,0,4,5,2,9,8,D
17,1,2,4,1,3,0,0,1,0,1,1,5,7,12,14,B
17,1,3,4,1,3,0,0,0,0,0,3,5,16,16,15,B
19,0,3,1,1,3,1,0,0,0,0,2,5,12,14,13,B
18,1,3,3,1,4,0,0,1,0,0,1,1,7,16,15,A
17,0,3,2,1,2,0,0,1,0,0,3,2,4,9,10,C
19,1,2,1,1,3,1,0,0,1,1,3,3,4,11,12,C
18,1,3,4,1,2,0,0,0,1,1,3,5,11,16,15,B
18,1,2,3,1,3,0,0,1,0,0,2,3,4,11,10,C
18,1,3,2,1,3,0,0,0,0,1,3,1,7,13,13,B
18,1,4,3,1,3,0,0,0,0,1,2,4,9,16,15,B
18,1,4,3,1,3,0,0,1,0,1,3,5,0,10,10,C
17,1,4,3,1,3,0,0,1,1,1,3,4,0,13,15,B
18,1,3,2,2,1,1,0,1,0,0,5,5,10,11,13,B
19,1,1,1,3,2,3,0,0,0,0,3,2,8,8,7,D
17,1,3,3,2,2,0,0,1,0,0,3,3,2,13,13,B
18,1,1,3,1,1,1,0,0,0,1,3,3,7,8,7,D
19,1,1,1,3,1,1,0,1,0,0,3,5,4,8,8,D
17,1,4,3,2,2,0,0,1,1,1,3,2,4,13,11,C
18,1,3,3,1,2,0,0,1,0,1,1,5,0,10,9,C
17,1,4,4,2,2,0,0,1,1,0,2,5,4,12,13,B
17,0,3,2,2,2,0,0,0,0,1,2,5,2,12,12,C
18,1,1,1,2,1,0,0,0,0,1,2,3,4,10,10,C
18,1,1,1,2,3,0,0,0,0,0,1,4,0,18,16,B
18,0,1,4,3,2,0,0,0,0,1,4,5,0,13,13,B
18,1,1,1,2,2,1,0,0,1,0,3,5,2,13,12,C
18,1,3,3,2,2,0,0,1,0,1,3,3,0,11,11,C
17,1,4,4,1,2,0,0,1,1,1,1,1,0,16,15,B
17,1,1,2,2,2,0,0,0,0,0,2,3,0,12,11,C
18,1,1,3,2,2,0,0,1,0,0,4,3,4,10,10,C
18,1,4,4,2,3,0,0,0,0,1,2,5,0,13,13,B
18,1,2,3,2,1,0,0,1,0,1,2,4,0,11,10,C
18,1,4,4,3,2,0,0,1,0,1,2,5,10,14,12,C
19,1,3,2,2,2,2,0,0,1,1,1,3,4,7,7,C
18,1,1,2,3,1,0,0,1,1,1,3,3,3,14,12,C
17,1,2,2,1,3,0,0,0,1,1,1,3,8,13,11,C
17,1,1,2,1,1,0,0,0,1,0,3,1,14,6,5,D
18,1,4,4,2,3,0,0,0,0,0,1,1,0,19,18,A
18,1,1,1,4,3,0,0,0,0,0,2,4,2,8,8,C
20,1,4,2,2,3,2,0,1,0,1,1,3,4,15,14,B
18,1,4,4,1,2,0,0,0,1,0,4,2,4,8,9,C
18,1,3,3,1,2,0,0,0,0,1,2,1,0,15,15,B
17,1,3,1,1,2,0,0,1,1,0,3,1,17,10,10,C
18,1,4,4,1,2,0,0,0,1,0,4,2,4,15,14,B
18,1,2,1,2,1,0,0,0,1,1,3,5,5,7,6,D
17,1,2,3,2,2,0,0,0,1,0,1,3,2,11,11,C
18,1,4,2,2,1,1,0,0,0,0,3,3,14,6,5,D
18,1,2,2,2,3,0,0,0,0,0,3,4,2,10,9,C
18,1,4,4,3,1,0,0,1,1,1,2,5,7,6,5,D
18,1,3,1,1,2,0,0,1,0,0,1,1,0,7,9,D
20,0,2,2,1,2,2,0,1,0,0,5,4,11,9,9,C
17,1,3,1,2,1,0,0,0,0,0,4,2,3,14,16,B
21,1,1,1,1,1,3,0,0,0,0,3,3,3,10,8,D
18,1,3,2,3,1,0,0,0,0,0,4,5,0,11,12,C
19,1,1,1,1,1,0,0,0,0,0,3,5,5,8,9,C
