age,Pstatus,Medu,Fedu,traveltime,studytime,schoolsup,famsup,activities,romantic,Walc,health,absences,G3
16,1,2,1,2,1,0,0,1,0,3,3,0,8
18,1,3,1,1,2,0,1,0,0,1,1,0,8
18,0,3,2,2,2,0,0,0,1,1,5,75,9
17,1,3,4,1,3,0,1,0,1,4,5,28,9
18,1,4,4,2,1,0,0,1,0,4,3,22,9
19,1,3,3,1,2,0,1,1,0,3,5,15,9
18,1,2,1,4,2,1,1,1,1,5,3,14,9
17,1,4,4,1,2,1,1,1,1,3,2,14,9
16,1,2,2,2,2,1,0,1,0,2,5,14,9
17,1,2,2,1,2,0,1,0,1,1,3,12,9
20,0,2,2,1,2,0,1,0,0,5,4,11,9
16,1,4,2,1,1,0,1,1,1,4,3,10,9
18,1,4,3,1,3,0,1,1,1,1,5,9,9
15,1,2,1,1,2,0,0,1,1,1,5,8,9
16,1,2,2,2,1,0,1,1,0,2,2,8,9
17,1,4,4,1,3,0,1,1,0,3,4,7,9
17,0,3,3,1,2,0,1,0,1,3,3,6,9
19,1,1,1,1,1,0,0,0,0,3,5,5,9
19,1,3,2,2,2,0,0,1,1,1,3,4,9
17,1,4,3,2,2,0,0,1,0,4,4,4,9
17,1,3,3,1,3,0,0,1,0,1,4,4,9
16,1,1,2,1,2,1,0,1,0,1,1,4,9
16,1,3,3,2,2,0,1,1,0,1,4,4,9
19,1,0,1,1,2,0,1,0,0,1,5,2,9
16,1,4,3,1,3,1,1,1,0,4,4,2,9
15,1,1,2,1,2,1,1,1,0,1,5,2,9
15,1,4,4,1,2,0,1,0,0,2,2,0,9
17,1,1,1,1,2,0,0,1,0,1,3,0,9
18,1,3,3,1,2,0,1,0,1,1,5,0,9
18,1,4,3,1,3,0,1,0,1,3,5,0,9
17,0,3,2,1,1,0,0,0,0,4,3,19,10
19,1,1,1,1,2,1,1,1,0,3,3,18,10
17,1,3,1,1,2,0,1,1,0,3,1,17,10
16,1,2,2,2,2,0,0,1,0,1,3,12,10
17,1,4,4,1,1,0,1,0,0,2,3,12,10
15,1,1,1,1,2,1,0,0,0,3,3,10,10
16,1,3,2,2,3,0,0,1,1,3,2,10,10
18,1,4,2,1,2,0,1,1,1,3,5,10,10
16,0,2,1,1,2,0,0,1,1,1,2,8,10
16,1,3,3,1,1,0,1,1,0,4,5,8,10
16,1,3,3,3,1,0,1,1,0,5,3,8,10
15,1,3,3,2,3,0,1,1,1,3,3,8,10
17,1,2,2,4,1,0,1,0,0,5,4,8,10
15,1,4,0,2,4,0,0,1,0,1,1,8,10
18,1,4,3,2,1,0,0,1,0,2,1,8,10
18,1,1,1,3,1,0,1,1,0,5,4,6,10
15,1,4,3,1,2,0,1,1,0,3,5,6,10
16,1,1,1,2,1,0,1,0,0,4,5,6,10
16,1,2,3,1,2,1,1,1,0,3,4,6,10
16,1,3,3,3,2,1,1,0,0,3,2,6,10
15,0,4,2,2,1,0,0,0,0,4,5,6,10
17,1,1,2,1,2,0,0,0,0,5,3,4,10
17,1,1,1,1,2,0,1,0,0,3,1,4,10
18,1,1,1,2,2,1,0,1,0,1,4,4,10
18,1,4,4,1,2,0,0,1,0,4,2,4,10
16,1,3,3,1,2,0,1,0,0,2,5,4,10
16,1,3,3,3,2,1,1,1,0,1,4,4,10
16,1,4,3,1,1,0,0,1,0,3,5,4,10
16,1,2,2,1,2,0,0,0,0,4,4,4,10
17,1,2,2,1,3,0,1,1,0,1,4,4,10
17,0,3,2,1,2,0,1,0,0,3,2,4,10
18,1,2,3,1,3,0,1,0,0,2,3,4,10
18,1,1,1,2,1,0,0,0,1,2,3,4,10
18,1,1,3,2,2,0,1,0,0,4,3,4,10
17,1,2,1,2,1,1,1,1,0,1,3,2,10
18,1,1,1,4,3,0,0,0,0,2,4,2,10
16,1,2,1,1,2,0,1,0,1,1,5,2,10
17,1,3,1,1,2,0,0,1,1,4,5,2,10
18,1,2,2,2,3,0,0,0,0,3,4,2,10
15,1,1,1,1,2,0,1,1,0,3,4,2,10
15,1,1,1,2,4,1,1,1,0,1,1,2,10
17,1,1,3,1,1,0,0,0,0,4,2,2,10
17,1,2,4,2,2,0,1,0,1,1,1,2,10
17,1,2,3,2,2,0,0,1,0,1,3,2,10
15,0,2,1,4,1,0,0,0,0,5,5,0,10
16,1,4,4,1,2,0,1,0,0,2,3,0,10
15,1,4,3,1,2,1,0,1,1,4,2,0,10
15,1,4,2,1,4,0,0,0,0,1,3,0,10
16,1,4,2,2,2,0,1,1,0,1,1,0,10
16,1,3,3,1,3,1,1,1,0,1,2,0,10
18,1,2,3,2,1,0,1,0,1,2,4,0,10
17,1,4,4,1,2,0,1,1,0,3,5,0,10
17,1,4,4,2,1,0,0,0,0,2,5,0,10
17,1,3,4,1,3,0,1,1,0,5,5,0,10
18,1,3,3,2,2,0,1,0,1,3,3,0,10
18,1,3,2,3,1,0,0,0,0,4,5,0,10
16,1,3,3,1,2,1,1,1,0,4,5,54,11
19,1,2,3,1,3,0,0,0,1,1,3,40,11
16,1,2,2,2,2,0,1,1,1,2,3,25,11
19,1,3,2,2,2,0,1,0,1,2,1,22,11
16,0,3,4,1,1,0,0,0,0,4,5,16,11
16,1,4,4,1,2,0,1,1,1,5,5,16,11
18,0,4,4,1,2,0,1,0,1,1,4,14,11
19,0,4,3,1,2,0,1,0,0,1,1,12,11
16,0,3,3,1,2,0,1,0,0,4,3,12,11
17,1,3,3,1,2,0,1,1,1,3,4,12,11
18,1,4,2,1,2,0,1,1,1,4,5,11,11
15,0,3,3,1,4,1,0,0,0,1,4,10,11
18,1,4,4,3,2,0,1,0,1,2,5,10,11
18,1,4,4,2,2,0,0,1,0,2,4,8,11
17,1,2,2,1,3,0,0,1,1,1,3,8,11
16,1,1,1,4,1,1,1,1,1,5,5,6,11
16,1,2,2,2,4,0,1,1,0,1,5,6,11
16,1,4,4,1,2,0,1,1,0,3,4,6,11
17,1,2,2,1,2,0,1,0,0,2,5,4,11
15,1,2,3,1,3,1,0,0,0,2,5,4,11
17,1,4,3,1,2,0,1,1,1,1,2,4,11
16,0,3,4,1,2,1,1,1,0,1,5,4,11
17,1,2,2,2,2,0,1,1,0,1,1,4,11
17,1,4,3,2,2,0,1,1,1,3,2,4,11
17,1,3,3,1,1,0,1,0,0,3,5,4,11
19,1,2,1,1,3,0,0,1,1,3,3,4,11
19,1,1,2,1,2,0,0,0,0,2,4,3,11
17,1,2,2,1,3,0,1,1,0,2,3,3,11
18,1,4,4,1,3,0,0,1,0,2,3,3,11
15,1,4,3,2,2,0,1,0,0,2,3,2,11
17,1,1,1,1,2,0,0,0,0,2,4,2,11
15,1,4,4,1,3,0,1,1,0,1,5,2,11
15,1,1,2,1,2,0,1,0,0,1,5,2,11
17,1,2,1,3,2,0,0,1,0,1,3,2,11
18,1,1,1,2,2,0,1,0,0,1,3,2,11
18,1,4,4,1,2,0,1,0,0,3,5,2,11
15,1,2,2,1,1,0,1,0,0,2,5,2,11
15,1,3,4,1,3,1,1,1,0,1,5,2,11
16,1,1,2,1,1,0,1,1,1,2,3,2,11
17,0,3,2,2,2,0,0,0,1,2,5,2,11
16,1,2,2,2,2,0,0,1,0,4,5,2,11
15,1,2,2,1,1,1,1,0,0,1,1,0,11
15,1,4,4,1,1,1,1,0,0,3,5,0,11
15,0,3,4,1,2,1,0,1,1,1,1,0,11
16,1,2,2,1,4,0,0,0,1,3,3,0,11
15,1,1,1,1,2,0,1,0,0,2,5,0,11
16,1,2,2,1,2,0,0,0,0,1,3,0,11
16,1,2,1,1,1,0,0,0,1,1,5,20,12
16,1,3,2,2,1,0,1,1,0,1,2,16,12
17,1,4,3,2,2,0,0,1,1,4,5,14,12
16,1,3,2,1,2,0,1,0,0,2,1,14,12
17,1,2,2,1,1,0,1,0,1,3,5,12,12
17,0,2,1,2,3,0,0,1,1,2,3,10,12
15,1,4,4,1,1,0,1,0,1,4,5,8,12
18,1,2,4,1,2,0,1,1,0,1,3,8,12
17,1,2,2,2,2,1,1,0,1,3,5,6,12
17,1,1,1,1,3,0,1,0,0,1,3,6,12
15,1,2,1,3,3,0,1,1,0,1,4,4,12
16,1,3,3,1,2,0,1,0,1,4,5,4,12
15,0,4,4,1,4,0,1,1,1,5,3,4,12
18,1,1,2,3,1,0,1,1,1,3,3,3,12
17,1,2,3,1,2,0,1,0,0,3,3,2,12
17,0,4,4,2,2,0,1,0,0,3,4,2,12
15,1,2,3,1,1,1,1,1,1,3,3,2,12
18,1,1,1,2,2,0,0,1,0,3,5,2,12
16,1,3,3,1,2,0,0,1,1,2,3,2,12
18,1,3,2,1,3,0,0,1,0,1,3,1,12
18,1,1,1,2,4,0,1,1,0,1,3,1,12
15,1,3,3,1,2,0,0,1,0,1,2,0,12
15,1,4,4,1,2,0,1,0,0,4,5,0,12
17,1,4,4,1,1,1,1,0,1,1,4,0,12
17,1,1,2,2,2,0,0,0,0,2,3,0,12
16,1,1,1,1,2,0,0,0,1,3,5,0,12
16,1,4,4,1,1,0,0,1,0,2,5,0,12
17,1,2,1,1,1,0,0,0,0,4,5,0,12
19,1,3,3,1,2,0,0,1,1,2,5,0,12
16,1,2,2,2,2,0,1,1,0,4,5,0,12
15,1,3,4,1,1,1,0,0,0,2,5,0,12
17,0,4,3,1,2,0,1,0,1,2,5,23,13
19,1,2,1,3,2,0,1,0,1,1,2,20,13
19,1,3,3,1,2,0,1,1,1,1,3,20,13
16,1,4,4,1,1,0,1,1,0,4,5,18,13
19,1,1,1,1,3,0,0,0,1,1,3,14,13
17,1,4,4,1,2,0,1,0,1,5,3,13,13
18,1,2,1,1,2,0,0,0,1,1,5,12,13
19,0,3,1,1,3,0,0,0,0,2,5,12,13
16,1,2,3,1,2,0,0,0,0,1,2,10,13
16,1,4,3,1,2,0,0,1,1,1,1,10,13
18,1,3,2,2,1,0,1,0,0,5,5,10,13
17,1,1,2,1,1,0,0,0,0,3,5,8,13
15,1,2,2,1,1,1,1,1,0,1,2,8,13
17,1,4,2,1,4,0,1,1,0,1,4,6,13
15,0,3,3,1,1,0,0,0,0,4,1,6,13
15,1,4,4,4,4,0,1,1,1,5,1,6,13
16,1,2,2,1,2,1,0,1,0,1,5,6,13
15,1,3,4,1,1,0,0,0,0,2,4,6,13
17,1,2,3,2,1,0,0,0,0,1,2,4,13
17,1,2,2,1,2,0,0,1,1,5,4,4,13
17,1,4,4,2,2,0,1,1,0,2,5,4,13
16,1,2,2,3,2,0,1,0,0,3,4,2,13
15,1,4,2,1,2,0,1,0,0,1,5,2,13
16,1,2,4,2,2,0,1,1,1,2,5,2,13
16,1,4,4,1,2,0,1,1,0,4,1,2,13
17,1,3,3,2,2,0,1,0,0,3,3,2,13
16,1,1,1,1,1,0,0,0,0,3,1,2,13
18,1,2,2,2,2,0,1,0,0,5,4,0,13
18,0,1,4,3,2,0,0,0,1,4,5,0,13
18,1,4,4,2,3,0,0,0,1,2,5,0,13
16,1,3,3,2,1,0,0,1,0,1,5,0,13
17,1,4,3,1,2,0,0,1,1,2,3,14,14
18,1,3,2,2,3,0,1,1,0,1,4,8,14
18,1,2,1,1,2,0,0,1,0,2,4,8,14
18,1,3,2,1,3,0,0,0,1,3,1,7,14
17,1,2,4,1,3,0,1,0,1,1,5,7,14
15,1,2,2,1,4,0,1,1,0,1,4,6,14
16,1,2,1,1,1,0,0,1,1,5,5,6,14
16,1,4,4,1,3,0,1,1,0,2,2,6,14
16,1,4,4,1,1,0,0,1,0,2,1,6,14
18,1,2,1,1,3,0,0,1,0,3,2,6,14
15,1,4,4,1,1,0,1,1,0,1,5,4,14
16,1,4,4,1,1,0,1,0,0,2,2,4,14
15,1,4,2,1,3,0,1,1,0,3,1,4,14
18,1,2,3,1,4,0,1,1,1,3,2,4,14
17,1,4,4,2,3,0,1,0,1,2,4,4,14
18,1,4,4,1,2,0,0,1,0,4,2,4,14
16,1,3,1,1,1,0,0,1,0,2,5,2,14
15,1,4,4,2,2,0,1,1,0,1,2,2,14
15,1,4,4,1,1,0,1,1,0,3,5,2,14
17,1,1,2,1,2,0,1,1,1,2,1,2,14
15,1,4,2,1,2,0,1,0,0,2,5,2,14
17,1,4,2,2,3,0,1,0,0,1,3,0,14
16,0,2,2,1,2,1,1,0,0,1,4,0,14
16,1,4,4,1,3,0,1,1,0,1,5,0,14
18,1,4,3,1,4,0,1,0,0,1,3,0,14
16,1,4,4,1,2,0,1,0,1,1,3,0,14
16,1,2,3,2,1,0,0,0,0,1,3,0,14
17,1,3,4,1,3,0,0,0,0,3,5,16,15
18,1,3,4,1,2,0,0,1,1,3,5,11,15
16,1,4,3,1,2,0,1,1,0,2,5,10,15
17,1,3,2,1,2,0,0,1,0,3,3,10,15
18,0,4,4,1,2,0,1,1,0,1,2,9,15
16,0,4,4,2,3,0,1,1,1,1,5,7,15
15,1,2,2,1,4,0,1,1,0,2,5,6,15
20,1,4,2,2,3,0,1,0,1,1,3,4,15
15,1,4,4,1,2,0,1,1,0,1,5,4,15
15,1,2,2,2,2,0,0,1,0,3,4,4,15
15,1,4,2,1,1,0,0,0,0,4,1,4,15
15,1,4,2,1,3,0,1,1,1,1,5,2,15
16,1,4,3,3,2,0,1,1,0,2,1,2,15
16,1,4,3,2,1,1,1,1,0,1,4,2,15
15,1,1,2,1,2,0,0,0,0,2,1,2,15
16,1,2,2,3,1,0,0,0,0,2,3,2,15
17,1,3,2,2,2,0,0,0,0,3,1,2,15
17,1,3,1,1,3,0,1,0,0,3,5,1,15
15,1,4,3,1,2,0,0,0,0,1,1,0,15
16,1,3,2,1,1,0,1,0,0,1,5,0,15
15,1,3,4,1,2,0,1,1,0,1,5,0,15
15,1,4,4,1,1,0,1,0,0,1,5,0,15
15,0,4,3,1,2,0,1,1,0,1,1,0,15
16,1,3,1,2,4,0,1,0,0,1,5,0,15
16,1,2,1,1,2,0,0,1,1,2,5,0,15
17,1,2,4,1,2,0,0,1,1,1,5,0,15
16,1,0,2,1,1,0,0,0,0,4,5,0,15
17,1,4,3,1,3,0,1,0,0,2,3,0,15
17,1,0,2,2,3,0,0,0,0,3,2,0,15
17,1,4,3,1,3,0,1,1,1,3,4,0,15
17,1,4,4,1,2,0,1,1,1,1,1,0,15
18,1,3,3,1,2,0,0,0,1,2,1,0,15
15,1,4,4,2,1,0,0,1,0,1,5,0,15
15,1,3,1,2,4,0,1,0,0,3,3,12,16
18,1,4,3,1,3,0,0,0,1,2,4,9,16
18,1,4,4,1,1,0,1,0,1,2,1,5,16
16,1,4,4,1,3,0,1,1,1,1,4,4,16
17,1,4,4,1,1,0,0,0,0,2,5,4,16
17,1,3,3,1,1,0,0,1,0,5,5,3,16
17,1,3,1,2,1,0,0,0,0,4,2,3,16
16,1,4,2,1,2,0,0,1,0,3,5,2,16
16,1,4,4,1,2,0,1,1,0,2,5,2,16
16,1,1,0,2,2,0,1,1,1,1,3,2,16
16,1,4,2,1,2,0,1,0,0,1,5,2,16
16,1,4,3,1,2,0,1,1,0,5,2,2,16
16,1,4,2,1,2,0,0,0,1,1,3,0,16
15,0,2,2,1,3,0,1,0,1,1,3,0,16
15,1,4,3,1,2,0,1,1,1,1,5,0,16
18,1,1,1,2,3,0,0,0,0,1,4,0,16
18,0,3,4,2,2,0,1,1,0,4,1,13,17
18,1,3,3,1,4,0,1,0,0,1,1,7,17
16,1,2,3,1,2,1,0,0,0,1,3,2,17
15,1,4,4,2,2,0,1,1,0,1,5,0,17
16,1,4,4,1,3,0,1,1,1,1,4,0,17
17,1,2,4,1,2,0,1,1,0,3,5,0,17
17,1,4,4,2,1,0,1,0,0,3,2,24,18
18,1,4,3,1,2,0,1,0,1,3,2,21,18
16,1,4,4,1,1,0,0,1,0,5,4,8,18
16,1,2,1,3,1,0,0,0,0,1,4,6,18
17,1,3,1,2,4,0,1,0,0,1,3,6,18
15,1,4,3,1,1,0,0,1,0,3,1,4,18
15,1,4,3,1,3,0,1,1,0,1,4,2,18
15,1,4,4,1,2,0,1,1,0,1,5,2,18
16,1,3,3,1,3,0,1,1,0,1,5,2,18
17,1,3,2,1,4,0,1,1,0,2,5,0,18
15,0,3,4,1,2,0,1,1,0,1,1,0,18
20,0,3,2,1,1,0,0,1,0,1,5,0,18
15,1,4,2,1,1,0,0,0,0,1,3,10,19
15,0,4,4,1,1,0,0,1,0,1,4,6,19
18,1,2,2,1,3,0,1,0,0,2,2,5,19
15,0,3,2,1,2,0,1,0,0,1,1,0,19
18,1,4,4,2,3,0,0,0,0,1,1,0,19
16,1,4,3,1,4,0,0,1,0,1,2,4,20
